block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_151629,51,0,51 Hespeler Rd. to Ainslie Terminal,510004,14FALL-All-Saturday-01,98434901
a_145054,62,1,62 Woodside,620014,14SUMM-All-Saturday-01,95362301
b_142667,60,0,60 Northview Acres,600007,14FALL-All-Saturday-01,92067801
a_147662,19,1,19 Victoria South to Downtown,190007,14SUMM-All-Weekday-05,94643603
b_153738,200,0,200 iXpress Conestoga Mall,2000071,14FALL-All-Weekday-01,91782803
a_147676,6,0,6 Bridge to Conestoga Mall,60004,14SUMM-All-Weekday-05,94976103
a_147657,4,0,4 Glasgow,40061,14SUMM-All-Weekday-05,94850903
a_144988,20,0,20 Victoria Hills to Highland Hills,200003,14SUMM-All-Saturday-01,95114901
b_142389,13,0,13 Laurelwood to The Boardwalk,130037,14FALL-All-Weekday-01,91868103
b_152944,92,1,92 University Loop,920020,14FALL-All-Weekday-01,97078903
b_142491,1,0,1 Stanley Park via River,10015,14FALL-All-Weekday-01,91541803
a_147733,12,1,12 Fairview Park,120031,14SUMM-All-Weekday-05,94897603
b_142738,6,1,6 Bridge to Downtown,60008,14FALL-All-Sunday-01,92402301
b_142397,12,1,12 Fairview Park,120122,14FALL-All-Weekday-01,91765503
b_142521,23,1,23 Idlewood,230023,14FALL-All-Weekday-01,91506703
a_147685,27,1,27 Chicopee,270004,14SUMM-All-Weekday-05,94768703
a_145064,201,1,201 iXpress Conestoga Mall,2010023,14SUMM-All-Sunday-01,95501901
b_142709,5,1,5 Erb to The Boardwalk,50035,14FALL-All-Saturday-01,92232701
a_147674,4,1,4 Downtown,40062,14SUMM-All-Weekday-05,94853903
b_142522,10,0,10 Fairview Park,100009,14FALL-All-Weekday-01,91676303
a_145045,9,0,9 Lakeshore to Conestoga Mall,90099,14SUMM-All-Saturday-01,95323101
b_153738,200,1,200 iXpress Ainslie Terminal,2000074,14FALL-All-Weekday-01,91797003
a_147699,14,0,14 Waterloo Industrial,140017,14SUMM-All-Weekday-05,95010603
b_142711,202,1,202 iXpress Conestoga Mall,2020006,14FALL-All-Saturday-01,92207701
a_148570,59,0,59 Christopher,590009,14SUMM-All-Weekday-05,94658203
b_142428,52,0,52 Fairview Park via Preston Pkwy,520022,14FALL-All-Weekday-01,91772903
a_147698,7,0,7E UW via Columbia,70030,14SUMM-All-Weekday-05,94701103
b_142668,64,1,64 Cambridge Centre,640007,14FALL-All-Saturday-01,92072301
a_151560,67,0,67 Lovell to Langs,670006,14SUMM-All-Weekday-05,94950203
b_142458,52,1,52 Ainslie Terminal via Cherry Blossom,520017,14FALL-All-Weekday-01,91781203
b_142736,202,0,202 iXpress The Boardwalk,2020005,14FALL-All-Sunday-01,92385501
